# Model Metadata
# n_ctx: 131072
# n_predict: 20
# model_size_bytes: 799862912
# n_params: 1235814432
phase,token_index,tensor_name,op_type,time_ns,size_bytes,n_elements,papi_tot_cyc,papi_tot_ins,papi_l3_tcm,papi_l1_dcm
prefill,0,Qcur-5,ROPE,6899,16384,4096,13900,14197,16,348
prefill,0,Vcur-5,MUL_MAT,30229,4096,1024,112235,245646,1766,3387
prefill,0,Vcur-5,RESHAPE,3813,4096,1024,1885,2666,0,113
prefill,0,Kcur-5,MUL_MAT,29235,4096,1024,110234,245779,1658,3329
prefill,0,Kcur-5 (reshaped),RESHAPE,3762,4096,1024,1727,2692,0,109
prefill,0,Kcur-5,ROPE,6083,4096,1024,11033,12246,0,233
prefill,0,Kcur-5 (view),VIEW,3763,4096,1024,1779,2677,1,46
prefill,0,cache_k_l5 (view),SET_ROWS,4201,134217728,67108864,3632,3456,38,138
prefill,0,Vcur-5 (view),VIEW,3761,4096,1024,1675,2696,0,34
prefill,0,cache_v_l5 (view),SET_ROWS,4191,134217728,67108864,3586,3572,40,146
prefill,0,Qcur-5 (view),VIEW,4159,16384,4096,3505,2740,17,31
prefill,0,Qcur-5 (view) (permuted),PERMUTE,3796,16384,4096,1927,2725,3,24
prefill,0,cache_k_l5 (view),VIEW,3735,262144,131072,1631,2691,1,18
prefill,0,cache_k_l5 (view) (permuted),PERMUTE,3712,262144,131072,1545,2680,2,18
prefill,0,cache_v_l5 (view),VIEW,3928,262144,131072,1940,2672,2,28
prefill,0,cache_v_l5 (view) (permuted),PERMUTE,9371,262144,131072,1545,2765,0,22
prefill,0,__fattn__-5,FLASH_ATTN_EXT,20847,16384,4096,73431,139055,116,1410
prefill,0,kqv_out-5,RESHAPE,3735,16384,4096,1725,2675,0,106
prefill,0,attn_out-5,MUL_MAT,94937,16384,4096,392102,865256,6828,19250
prefill,0,ffn_inp-5,ADD,6642,16384,4096,13316,9440,10,535
prefill,0,norm-5,RMS_NORM,8120,16384,4096,19344,22345,1,370
prefill,0,ffn_norm-5,MUL,6964,16384,4096,12873,9304,151,536
prefill,0,ffn_gate-5,MUL_MAT,368082,65536,16384,1547407,3343207,27063,74945
prefill,0,ffn_up-5,MUL_MAT,359013,65536,16384,1489273,3340558,27678,75173
prefill,0,ffn_swiglu-5,GLU,20804,65536,16384,65623,22208,147,1856
prefill,0,ffn_out-5,MUL_MAT,423095,16384,4096,1724702,3425605,28255,78742
prefill,0,l_out-5,ADD,7530,16384,4096,12295,9164,27,538
prefill,0,norm-6,RMS_NORM,8124,16384,4096,17530,22331,13,279
prefill,0,attn_norm-6,MUL,6636,16384,4096,12911,9281,93,349
prefill,0,Qcur-6,MUL_MAT,96184,16384,4096,361888,864219,6740,19180
prefill,0,Qcur-6 (reshaped),RESHAPE,4485,16384,4096,2337,2497,11,110
prefill,0,Qcur-6,ROPE,7093,16384,4096,13382,14102,21,350
prefill,0,Vcur-6,MUL_MAT,30902,4096,1024,106601,245407,1763,3403
prefill,0,Vcur-6,RESHAPE,4149,4096,1024,2229,2670,5,111
prefill,0,Kcur-6,MUL_MAT,30119,4096,1024,103670,245566,1674,3379
prefill,0,Kcur-6 (reshaped),RESHAPE,4106,4096,1024,1751,2508,2,110
prefill,0,Kcur-6,ROPE,6480,4096,1024,10312,12182,1,240
prefill,0,Kcur-6 (view),VIEW,4038,4096,1024,1754,2681,0,51
prefill,0,cache_k_l6 (view),SET_ROWS,4744,134217728,67108864,4577,3459,34,126
prefill,0,Vcur-6 (view),VIEW,4006,4096,1024,1693,2671,0,28
prefill,0,cache_v_l6 (view),SET_ROWS,4530,134217728,67108864,3606,3568,37,146
prefill,0,Qcur-6 (view),VIEW,4387,16384,4096,3240,2745,4,33
prefill,0,Qcur-6 (view) (permuted),PERMUTE,4065,16384,4096,1766,2542,5,23
prefill,0,cache_k_l6 (view),VIEW,3993,262144,131072,1670,2691,0,22
prefill,0,cache_k_l6 (view) (permuted),PERMUTE,4845,262144,131072,3391,2502,1,16
prefill,0,cache_v_l6 (view),VIEW,3960,262144,131072,1646,2844,0,26
prefill,0,cache_v_l6 (view) (permuted),PERMUTE,4412,262144,131072,3314,2765,7,17
prefill,0,__fattn__-6,FLASH_ATTN_EXT,22171,16384,4096,73390,139302,89,1340
prefill,0,kqv_out-6,RESHAPE,4008,16384,4096,1757,2681,4,91
prefill,0,attn_out-6,MUL_MAT,93592,16384,4096,358286,864405,6867,19260
prefill,0,ffn_inp-6,ADD,6615,16384,4096,10768,9320,5,527
prefill,0,norm-6,RMS_NORM,9235,16384,4096,17905,22272,6,335
prefill,0,ffn_norm-6,MUL,6833,16384,4096,11098,9250,76,386
prefill,0,ffn_gate-6,MUL_MAT,367845,65536,16384,1473754,3338233,28151,74957
prefill,0,ffn_up-6,MUL_MAT,374554,65536,16384,1508198,3337995,27387,75092
prefill,0,ffn_swiglu-6,GLU,16298,65536,16384,49283,22038,142,1863
prefill,0,ffn_out-6,MUL_MAT,374136,16384,4096,1582195,3414339,27695,78882
prefill,0,l_out-6,ADD,7144,16384,4096,12345,9282,24,540
prefill,0,norm-7,RMS_NORM,7958,16384,4096,18737,22372,17,352
prefill,0,attn_norm-7,MUL,6551,16384,4096,11775,9270,93,386
prefill,0,Qcur-7,MUL_MAT,94524,16384,4096,373634,863924,6584,19214
prefill,0,Qcur-7 (reshaped),RESHAPE,4608,16384,4096,3978,2707,9,104
